Name,Address,Location,Price,Cuisine,Longitude,Latitude,Award,FacilitiesAndServices,Description,Price_level
The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany","Hamburg, Germany",€€€€,"Creative, International",10.0029635,53.5426688,3 Stars,"Counter dining,Interesting wine list","In his set menu ""Das Tor zur Welt"" (""Gateway to the World""), Kevin Fehling makes use of various components and flavours from far-flung places such as Asia or South America, and also likes to marry these with elements of classic French cuisine. For example, the combination of unagi (eel cooked Japanese style) with smoked unstuffed foie gras, nori, wasabi, and shiso creates a unique sense of balance with pleasing contrasts. But you don't always have to go so far afield; for instance, the quail crépinette and confit leg with ratatouille cake, sardine and gremolata is equally compelling when it comes to the quality of the produce, depth of flavour and meticulous craftsmanship. And these are not the only two dishes that come as a set of variations on a theme, each of which showcases the excellent main ingredients beautifully. The setting is stylish and relaxed, and from your spot at the long and winding table after which the restaurant is named, you can watch the action in the kitchen ?everything runs without a hitch!",4
Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany","Wolfsburg, Germany",€€€€,"Creative, Modern Cuisine",10.789999,52.4331722,3 Stars,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access","The Ritz-Carlton is located in the heart of Volkswagen's fascinating Autostadt, and here ?somewhat hidden on the ground floor at the end of a corridor ?is a truly worthwhile destination for any gourmet: Aqua. The decor is elegant and sleek, the front-of-house team is professional and at the same time pleasantly informal and friendly ?there's no need to be intimidated by three-star cuisine here! The dishes are impressively innovative, occasionally surprising and feature remarkably bold combinations. It's not just ""Sicher char & roasted beechnut seeds, avocado & cucumber"" or "" lobster & braised pork chin, carrot, crustacean mayonnaise"" that whet the appetite. Sven Elverfeld always succeeds in presenting complex dishes with ease. To sum up: this place is all about eating, experiencing and enjoying!",4
JAN,"Luisenstraße 27, Munich, 80333, Germany","Munich, Germany",€€€€,"Creative, Modern Cuisine",11.5629878,48.1447975,3 Stars,,"Quality of the highest standard is guaranteed at Jan Hartwig's own restaurant. Here, he creates a set menu comprising seven courses, expandable with ""signature dishes"". His culinary creations are precise and carefully considered down to the last detail; each has its own identity and features wonderful ?occasionally surprising ?combinations. The premium red mullet served in a yoghurt cream with garlic and black and green stripe of plankton is mind-blowing both in terms of flavour and appearance. An elegant crustacean foam provides the perfect finishing touch. The set menu is available for lunch and dinner ?it's also possible to have a shortened version at lunchtime. The design is sleek, chic and upscale; depending on where you sit, you can look through the open door or open pass into the kitchen, dubbed the Labor der Liebe (""Laboratory of Love""). The atmosphere is harmonious, and the service team led by maître d' Kilian Skalet is dedicated and professional. The impressive wine list includes specialities such as magnums, jeroboams and special vintages.",4
Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany","Baiersbronn, Germany",€€€€,Classic French,8.3269876,48.5205845,3 Stars,"Air conditioning,Car park,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Claus-Peter Lumpp is truly a master of his trade! Since March 1992, the native Swabian has been head chef at the Bareiss fine dining restaurant and is, so to speak, part of the furniture. His cuisine is still classically French in style, but he also incorporates modern elements. He combines, for example, top fresh and tender roasted langostino with pumpkin in the form of jelly, fine slices and puree as well as a crustacean sauce with tremendous strength and flavour expression, refined with a bit of ginger. The wonderful cheese trolley deserves a mention, and the trolley of sweets and chocolates is equally enticing. Then there is the refined atmosphere, which is in no small part down to the excellent service provided under the tutelage of Thomas Brandt, a maître d' of the old school. Sommelier Teoman Mezda provides excellent wine recommendations. It's a bonus that you can also enjoy this at lunchtime!",4
Rutz,"Chausseestraße 8, Berlin, 10115, Germany","Berlin, Germany",€€€€,"Modern Cuisine, Creative",13.3860867,52.5283507,3 Stars,"Air conditioning,Interesting wine list,Terrace","Let yourself be taken on a ""journey"" courtesy of Marco Müller's ""Inspiration"" tasting menu, over the course of which he applies his own clear culinary style to skilfully build a narrative arc. The pleasant team will explain the ideas behind the dishes in a relaxed and informal way and are happy to answer questions. The menu features terrific ingredients such as Wagyu beef from Germany, the distinctive flavour of which is in a class of its own, and squid (an invasive species from the North Sea). From rabbit tartare or dry-aged carp, some of the dishes here are sure to surprise even experienced foodies at times ?in an absolutely positive way! In summer, the best place to sit is on the small but inviting terrace. If you are in Berlin, don't miss the opportunity to try this cuisine!",4
Victor's Fine Dining by christian bau,"Schlossstraße 27, Perl, 66706, Germany","Perl, Germany",€€€€,Creative,6.3872109,49.5351732,3 Stars,"Air conditioning,Car park,Interesting wine list,Notable sake list","Few chefs could bring together the flavours of French and Japanese cuisine more distinctively than Christian Bau. Elements of both styles can be found in his ""Paris-Tokyo"" set menu, a fine example being his mackerel with caviar, buttermilk, yuzu kosho and chives, served on an elaborate Japanese waffle. His meticulous craftsmanship is second to none, as is the exceptional quality of the produce. He skilfully incorporates fresh ideas while remaining true to his own unique style. His dishes are perfectly balanced and full of finesse, but most of all they are truly original. There is also a range of ""specials"" with which to supplement the set menu. Charming and professional service.",4
schanz. restaurant.,"Bahnhofstraße 8a, Piesport, 54498, Germany","Piesport, Germany",€€€€,"Modern French, Creative",6.9266002,49.8776003,3 Stars,"Air conditioning,Car park,Interesting wine list,Wheelchair access","You would not necessarily expect to find such a first-class restaurant in tranquil Piesport. It is thanks to Thomas Schanz that this small town on the Moselle, already known for its excellent wines, has also become a mecca for foodies. With his own distinctive style, he puts a modern spin on classic cuisine, harmoniously combining bold flavours. He is uncompromising when it comes to the quality of his ingredients. One signature dish not to be missed is the truffle egg; another tempting option is the wild turbot, garnished with rings of green apple and cream, accompanied by pralines of poached lettuce with a pistachio filling, complemented by the exquisite acidity of a wonderfully powerful blossom and hay infusion. The team are dedicated to recommending just the right wine to you ?including bottles from their own winery. Thomas Schanz is not only a trained chef but a hotelier as well, and there are lovely guestrooms in the hotel he has taken over from his parents.",4
Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany","Baiersbronn, Germany",€€€€,"Classic French, Creative",8.3582803,48.5369113,3 Stars,"Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Schwarzwaldstube, the flagship restaurant of the Traube Tonbach hotel, is modern and elegant with a regional flavour; the floor-to-gable glass-paned façade affords unobstructed views of the valley. Chef Torsten Michel and his team bowl diners over with a savvy mix of dishes that draw on modern and classic influences. Made using top-notch ingredients, these are clearly structured creations brimming with finesse and flavours. Diners are offered a choice between a short and a longer tasting menu, as well as a vegetarian set menu. The ""Ikejime France"" lacquered sea bass fillet with a crispy skin, served with a pearlescent jus made from roasted perch carcasses with sea buckthorn and maple syrup, for example, is especially tempting. Piet Gliesche's wonderful desserts are the perfect ending to any meal. And then there is the extremely pleasant, perfectly organised service team led by restaurant manager Nina Mihilli and head sommelier Stéphane Gass, who is highly competent and has bags of personality.",4
La Table du Castellet,"3001 route des Hauts-du-Camp, au Circuit Paul Ricard, Le Castellet, 83330, France","Le Castellet, France",€€€€,Creative,5.7838874,43.2499288,3 Stars,"Air conditioning,Car park,Garden or park,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","Within the walls of this well-known luxury resort, Provençal bliss reigns supreme. Grounds overlooking the Var hinterland, the Mediterranean on the horizon, ponds, lavender beds?and a superb take on the cuisine of the South of France. Former sous-chef to Christophe Bacquié, Fabien Ferré is working his magic. He has an artist's sensitivity to Mediterranean produce, calling to mind Matisse, who was captivated by the light of Provence. He cooks up a high-calibre storm with two tasting menus ?one vegetable-based, the other showcasing fish/seafood, which features dishes such as prawn carabineros with Meyer lemon and coral sauce, or squid with marjoram. His refined and virtuoso cuisine elevates the natural flavour of the ingredients, bolstered by memorably full-bodied sauces, a case in point being the aloe vera-scented vinaigrette that accompanies the mackerel fillet. As for desserts, pastry chef François Luciano delivers fresh and light seasonal creations, for example grapefruit with meadowsweet and Brousse du Rove goat's cheese. It is arguably worth the trip here just for the cheese cellar. Plus a terrific selection of wines and a heavenly terrace for an aperitif and coffee.",4
Plénitude - Cheval Blanc Paris,"8 quai du Louvre, Paris, 75001, France","Paris, France",€€€€,Creative,2.3421588,48.8588148,3 Stars,"Air conditioning,Great view,Interesting wine list,Valet parking,Wheelchair access","The revamped Samaritaine department store is home to the luxurious Cheval Blanc Hotel, within whose walls lies this restaurant, the haunt of low-profile chef, Arnaud Donckele, who has three stars to his name at La Vague d'Or in St Tropez. Wholly committed, he pops in and out of the kitchen to share his passion with diners. His new spin on classical cuisine takes you on a voyage between Normandy, his place of birth, and the Mediterranean, his home of adoption and the Paris region?It is impossible not to be bowled over by his work, from its delicacy and generosity to the exceptional quality of the ingredients. This virtuoso sauce maker, who can be compared with a perfume “nose?or an oenologist, lavishes phenomenal care and attention over his jus, dressings and sauces which should be tasted first to better appreciate the complex aromatic universe of each dish. When it comes to the sweet course, he can count on Maxime Frédéric, previously of the George V, to take the desserts to a whole new dimension. The absolute pinnacle of fine dining.",4
Le Petit Nice,"Anse de Maldormé, Marseille, 13007, France","Marseille, France",€€€€,Seafood,,,3 Stars,"Air conditioning,Car park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Wheelchair access","Le Petit Nice is inextricably linked to its city, Marseille, and to Gérald Passedat's personality. ""I dive into the Mediterranean, in every sense of the word,"" says the chef. ""It carries me and inspires me, as well as all the lands that surround it."" It would be an understatement to say that he has drawn inspiration from the Mediterranean terroir (fruit, vegetables, cereals, fish, spices etc) to forge his culinary identity. For example, over 65 types of fish are used in the kitchen, from sea bream, dentex and pike-perch to whiting, comber, and sometimes even moray eel. Gérald Passedat, heir to a family of artists and once a student of Alain Chapel, the Troisgros brothers and Michel Guérard, has lost none of the pleasure he takes in cooking and in surprising and thrilling diners. A taste of the Calanques...",4
Mirazur,"30 avenue Aristide-Briand, Menton, 06500, France","Menton, France",€€€€,Creative,7.5280514,43.7859304,3 Stars,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Born in La Plata in 1976, Argentine chef Mauro Colagreco's destiny has turned out to be nothing short of exceptional. After working alongside many of the greats, he struck out on his own?and found what he was looking for in Menton. Mirazur is the ""last house before Italy"" and looks the sky and the open sea straight in the eye: many a visitor has been hypnotised by the exceptional view of the Mediterranean. Supported by a talented team and a firm believer in the benefits of ultra-short food supply chains (his permaculture vegetable garden is proof of this), Mauro Colagreco is at the top of his game. In tune with lunar cycles, transcending the seasons and the region, his cuisine is a daily ode to aromatic plants, flowers, vegetables and citrus fruits. An unforgettable experience.",4
AM par Alexandre Mazzia,"9 rue François-Rocca, Marseille, 13008, France","Marseille, France",€€€€,Creative,5.3862325,43.2701104,3 Stars,Air conditioning,"You need a raft of superlatives to describe the work of Alexandre Mazzia at AM, his restaurant located in a chic residential area not far from the Stade Vélodrome. A true artist of a chef who is in perpetual motion, he elevates the small-portion format to the realm of art; he is a virtuoso when it comes to spices, roasting and smoking; his childhood memories of the Congo flow through his cuisine. In his hands, the gastronomic mould as we know it has been broken, but, more importantly, it all makes sense! Take, for instance, his trout roe and wild salmon with smoked milk and roasted hazelnuts ?in which the intensity of flavour is second to none ?or the breaded langoustines with sesame seeds and bonito, a lemon-geranium condiment and seaweed popcorn ?a pure wonder. At each sitting, the lucky few are whisked away on a unique adventure of taste sensations, enhanced by perfect service.",4
Pic,"285 avenue Victor-Hugo, Valence, 26000, France","Valence, France",€€€€,Creative,4.8854965,44.9177848,3 Stars,"Air conditioning,Car park,Garden or park,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","The first thing to mention about Maison Pic (in the Drôme département of southeast France) is its special atmosphere. An artfully lit room designed to cast light on the dishes, floral creations, a thick carpet that muffles the steps of a front-of-house team dressed in classic attire. Here, they serve food the old-fashioned way, on a porcelain plate under a cloche. The lofty culinary obsessions of a chef who has been dubbed ""the tightrope walker of flavours"" ?adulation of Japan, original presentations ?make themselves felt in the dishes. Anne-Sophie Pic now serves a single set menu with ten ""ports of call"". A member of the highly exclusive club of female three-starred chefs, she is now director of the foundation ""Donnons du goût à l'enfance"". Beyond her boundless talent, she is an iconic figure.",4
Pierre Gagnaire,"6 rue Balzac, Paris, 75008, France","Paris, France",€€€€,Creative,2.3003862,48.8732506,3 Stars,"Air conditioning,Interesting wine list,Valet parking,Wheelchair access","In an interior dominated by a masterful charcoal work, an ""urban cave painting"" depicting a bestiary by the artist Adel Abdessemed, Pierre Gagnaire continues to finetune France’s culinary scene with his adventurous, wholehearted and excessive signature cuisine. This fan of jazz and contemporary art never rests on his laurels. Gagnaire's restaurant, which has had three stars since 1996, reflects his character: modern, understated and subtly sophisticated, all of which is in perfect harmony with the attentive, delicate service. The poetic dishes are constantly reinvented, like small ""satellite"" portions sent into orbit by the chef, making it impossible to cite a single emblematic dish, or even a main characteristic ?other than sheer excellence!",4
Flocons de Sel,"1775 route du Leutaz, Le Leutaz, Megève, 74120, France","Megève, France",€€€€,Modern Cuisine,6.5969625,45.8302404,3 Stars,"Car park,Garden or park,Great view,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","Emmanuel Renaut fell in love with Haute Savoie as a child, long before achieving his Meilleur Ouvrier de France title, and his predilection for Alpine produce is deeply ingrained (pike, char and whitefish from Lake Geneva, mushrooms and wild herbs, mountain cheeses). At times he has fun subverting the regional cooking that is expected of him ?a case in point being his superb langoustines marinated in citron, caviar with zesty grapefruit and gentian roots. Plants are also given an increasingly important role in his cuisine. An enchanting high-altitude chalet at the summit of fine dining.",4
Alléno Paris au Pavillon Ledoyen,"8 avenue Dutuit, Paris, 75008, France","Paris, France",€€€€,Creative,2.3164993,48.8660932,3 Stars,"Air conditioning,Car park,Interesting wine list,Valet parking,Wheelchair access","This prestigious Parisian institution housed in an elegant building set in the Jardins des Champs-Élysées has huge windows looking out onto the most beautiful avenue in the world. It is the very epitome of the great French restaurant: the luxurious setting, the culture of beautifully dressed tables, the seamlessly orchestrated service ?it all makes for a unique backdrop, fit to showcase gastronomy in all its glory. Chef Yannick Alléno has achieved a real tour de force by stamping his hallmark on the menu from the outset. His cuisine is dazzling and technical, and his jus and sauces (what the chef calls ""the verb of French cuisine""), enhanced by skilful extractions, deserve a special mention. This is what happens when the avant-garde puts itself at the service of the great French culinary tradition.",4
L'Ambroisie,"9 place des Vosges, Paris, 75004, France","Paris, France",€€€€,Classic Cuisine,2.3645215,48.855494,3 Stars,"Air conditioning,Restaurant offering vegetarian menus","What to say of the creations of Bernard Pacaud, the quality of which is matched only by his modesty? He doesn't give much away, preferring to let his cooking do the talking. His restaurant occupies a townhouse on the Place des Vosges (antique mirrors, immense tapestry, black and white marble floor), which for all its almost Florentine majesty has just undergone extensive refurbishments (including the addition of remarkable contemporary wall panels lit by red diodes). He never ceases to amaze us with his consistency and that je ne sais quoi that comes from the soul and that he is always able to introduce into his work. His dishes may appear to be simple, but each element is placed with absolute conviction, as in a master's painting. Just let yourself be swept along: emotion shines through in every dish ?lobster fricassee with civet sauce and Saint-Germain mousseline; scallops with leek, potato and truffle; tarte fine sablée with bitter cocoa and vanilla ice cream.",4
Le Pré Catelan,"Route de Suresnes - bois de Boulogne, Paris, 75016, France","Paris, France",€€€€,"Creative, Contemporary",2.2507182,48.8639374,3 Stars,"Air conditioning,Car park,Garden or park,Interesting wine list,Valet parking,Wheelchair access","Pierre-Yves Rochon is credited with revolutionising this Napoleon III lodge nestled in the Bois de Boulogne, with its designer furniture and palette of green, white and silver tones. At the helm of this illustrious house is a Meilleur Ouvrier de France with an undiminished passion: Frédéric Anton. From his mentors (who include Joël Robuchon), the chef has inherited precision and rigour, to which he has added his own distinct taste for original combinations of flavours. Often centred on an ingredient of choice (red mullet, morel, squab, langoustine), the dishes combine balance, harmony and generosity: each one is a gem, down to its design on the plate. Let's not forget, of course, the prestigious wine cellar and perfect service.",4
Le Cinq,"Four Seasons Hotel George V, 31 avenue George-V, Paris, 75008, France","Paris, France",€€€€,Modern Cuisine,2.3008612,48.8687604,3 Stars,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking,Wheelchair access","Unadulterated style and opulence - lofty columns, ornate mouldings and bouquets of fresh flowers, all bathed in soft light pouring in from the interior garden... It is here, in one of the most prestigious luxury hotels of Paris, that chef Christian Le Squer works his magic year after year, earning our greatest respect. His timeless cuisine, ever at the service of outstanding produce, unveils his virtuoso technique and phenomenal delicacy, illustrated by a foaming vin jaune-flavoured butter sauce served with lobster or the delicate cream of cauliflower that flanks sea urchin roe. This lad from Morbihan never ceases to pay tribute to his native Brittany in the heart of Paris, celebrating the region with ingredients like soured milk served with caviar and seabass or salted butter with lobster. On the dessert side, pastry wizard Michael Bartocetti composes a high-flying score inspired by nature, forgoing sugar in favour of fruit and honey. Finally, the service under the auspices of Eric Beaumard (also an outstanding sommelier) is a model of empathy and style that is close to perfection.",4
Maison Lameloise,"36 place d'Armes, Chagny, 71150, France","Chagny, France",€€€€,Modern Cuisine,4.7529917,46.9078385,3 Stars,"Air conditioning,Interesting wine list","Ah, Lameloise! Just saying the name makes the connoisseurs of Burgundy and beyond quiver with pleasure. It is impossible to summarise in a few lines the history of this institution which began its star-studded career in?hold on to your hats?1926! But make no mistake: despite its advanced age, Lameloise does not deal in nostalgia. Eric Pras, who arrived to head up the establishment in 2009, sums it up in one sentence, which is almost a mantra: ""Tradition is the future."" Suffice to say, he has no intention of resting on his laurels. Faithful to the spirit of the place, as inspired as he is meticulous, the chef serenely turns out dishes that will knock your socks off, paying homage to the land (snails, Bresse poultry, Charolais beef, Morvan cazette), while remaining tuned into the zeitgeist. Very good selection of wines, especially by the glass. Expertly done.",4
Le Gabriel - La Réserve Paris,"La Réserve Paris, 42 avenue Gabriel, Paris, 75008, France","Paris, France",€€€€,Creative,2.3132078,48.8697309,3 Stars,"Air conditioning,Brunch,Interesting wine list,Valet parking,Wheelchair access","Just a block from the Champs-Élysées, this restaurant is set in the elegant and luxurious La Réserve. Refinement is the name of the game in this 19C Napoleon III-style mansion done out in magnificent materials, such as gilt Spanish leather and featuring Versailles parquet flooring, as per Jacques Garcia's redesign. Jérôme Banctel is no stranger to prestigious Parisian restaurants (thanks to stints with Bernard Pacaud and Alain Senderens). He asserts his unique culinary personality with two tasting menus: ""Virée"", a tribute to his native Brittany, and ""Périple"", an invitation to travel the world ?taking in Japan, as well as Turkey, where the chef discovered the incomparable textures produced by cooking with lime water; there is also a game menu in season. These high-calibre menus conjure up a vast range of sensations and flavours ?whether tart or sweet and sour, or drawing on spices or seafood. And his talent as a cosmopolitan alchemist enables him to draw everything together harmoniously. The full-bodied, concentrated sauces are the best way to understand this cuisine, which may be highly technical but it keeps that under wraps. The sand carrot with peppery ginger, and the artichoke heart with cherry blossom vinegar deserve a special mention. An exceptional mealtime.",4
Épicure,"Le Bristol, 112 rue du Faubourg-Saint-Honoré, Paris, 75008, France","Paris, France",€€€€,Modern Cuisine,2.3145978,48.8717223,3 Stars,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Valet parking,Wheelchair access","Le Bristol is a world of absolute luxury, from its suites to its spa, from the superb formal garden to the rooftop pool and the dining area with Louis XVI furnishings, mirrors, and tall French windows opening onto the greenery outside. This premium hotel has chosen to name its restaurant after Epicurus: the Greek philosopher who believed in pleasure in temperance, a motto that suits chef Éric Frechon down to the ground: ""My grandfather grew vegetables, my father sold them, I cook them."" Superb ingredients, impeccable technique: he works wonders in an unapologetically traditional style, leaving nothing to chance.",4
Arpège,"84 rue de Varenne, Paris, 75007, France","Paris, France",€€€€,Creative,2.3170127,48.8557538,3 Stars,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","""The best cookbook ever written was by Mother Nature herself,"" according to Alain Passard. His name is associated with vegetables ?and, for those in the know, a certain beetroot in a salt crust. He called it before anyone else with his 100% vegetable-based menu, initially considered radical. Nowadays, his green philosophy is de rigueur at every restaurant. Despite his success, the chef who fetes fruit and flowers never feels more at home than when in one of his three kitchen gardens in the west of France, where his twin vocations of cook and gardener meet. He heads there for inspiration, exploring the culinary possibilities of vegetables in a bid to elevate this ordinary ingredient so often relegated to the status of a side dish. A bucolic fresco references this environment in the restaurant's dining room.",4
Le Louis XV - Alain Ducasse à l'Hôtel de Paris,"Place du Casino, Monaco, 98000, France","Monaco, France",€€€€,"Mediterranean Cuisine, Modern Cuisine",7.4271047,43.7391839,3 Stars,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Terrace,Valet parking,Wheelchair access","It is difficult to present the Louis XV without mentioning Alain Ducasse. You need a raft of superlatives to describe his impact. This native of Orthez (in southwest France) with an enduring love for the Mediterranean is a brilliant chef and businessman. Now a citizen of Monaco, he also heads up an empire of over 30 establishments with a presence on every continent. He was just 33 years old when he was awarded three stars at the Louis XV after reaching an astonishing standard. His famous vegetable-based ""Jardins de Provence"" set menu, which launched here in Monaco on 27 May 1987, has been one of the touchstones of French gastronomy for the last 30 years. Here, Alain Ducasse's signature style is brought to life by his loyal right-hand man, Emmanuel Pilon, in cuisine that masterfully celebrates the essence of the ingredients and the Mediterranean.",4
